method,obs,a_mean,a_q05,a_q95,a_true,a_in_CI,b_mean,b_q05,b_q95,b_true,b_in_CI,E1_mean,E1_q05,E1_q95,E2_mean,E2_q05,E2_q95
cvae,20,300.676,300.005,301.308,299.7,False,24.9415,24.4431,25.4532,25.1586,True,0.630167,0.503606,0.825449,0.554276,0.502592,0.696836
cvae,21,303.176,302.552,303.821,303.5,True,25.2812,24.7685,25.7535,25.398,True,0.634528,0.507031,0.829929,0.577914,0.505819,0.742163
cvae,22,292.686,292.083,293.331,292,False,25.5398,25.0449,26.0657,25.9946,True,0.596309,0.50096,0.783065,0.539479,0.500015,0.647589
cvae,23,302.35,301.722,303.038,302.6,True,24.6351,24.136,25.1303,24.984,True,0.625424,0.505954,0.81621,0.593805,0.504741,0.782564
cvae,24,305.117,304.486,305.791,304.2,False,23.9991,23.4836,24.5037,24.3809,True,0.63945,0.508343,0.82795,0.565393,0.504125,0.711034
cvae,25,301.076,300.458,301.719,300.7,True,26.8057,26.3441,27.2803,26.8959,True,0.620126,0.503717,0.818605,0.555084,0.500648,0.694441
cvae,26,295.039,294.432,295.686,293.5,False,29.6346,29.1642,30.0994,29.5839,True,0.608117,0.504835,0.800417,0.519333,0.493088,0.577723
cvae,27,301.296,300.635,301.964,300.05,False,26.1198,25.6141,26.6119,26.7256,False,0.621409,0.503159,0.821849,0.553628,0.502502,0.680052
cvae,28,303.573,302.91,304.235,301.9,False,22.0833,21.5541,22.5881,22.9351,False,0.653757,0.510041,0.848244,0.559771,0.505662,0.694293
cvae,29,302.804,302.141,303.484,302.7,True,21.7296,21.2091,22.237,21.9861,True,0.643781,0.507597,0.843455,0.578928,0.505802,0.74783
